Datetime,LandAverageTemperatureUncertainty,UpperBounds,LowerBounds,month,year,Average_Temperature,Yearly_SMA,Decade_SMA,Semicentennial_SMA,Centurie,Global_Warming
1750-01-01,3.574,6.6080000000000005,-0.5399999999999996,1,1750,3.0340000000000003,,,,,0
1750-02-01,3.702,6.785,-0.6189999999999998,2,1750,3.083,,,,,0
1750-03-01,3.076,8.702,2.5500000000000003,3,1750,5.626,,,,,0
1750-04-01,2.451,10.941,6.039,4,1750,8.49,,,,,1
1750-05-01,2.072,13.645,9.501,5,1750,11.573,,,,,1
1750-06-01,1.724,14.661,11.213,6,1750,12.937,,,,,1
1750-08-01,2.231,16.980999999999998,12.519,8,1750,14.75,,,,,1
1750-09-01,2.637,14.05,8.775999999999998,9,1750,11.412999999999998,,,,,1
1750-10-01,2.668,9.035,3.698999999999999,10,1750,6.366999999999999,,,,,0
1750-12-01,2.97,5.742000000000001,-0.1980000000000004,12,1750,2.772,,,,,0
1751-01-01,3.469,5.964,-0.9739999999999998,1,1751,2.495,,,,,0
1751-02-01,3.827,4.79,-2.864,2,1751,0.963,6.958583333333334,,,,0
1751-03-01,3.051,8.850999999999997,2.7489999999999997,3,1751,5.8,7.1890833333333335,,,,0
1751-04-01,2.3680000000000003,10.038,5.3020000000000005,4,1751,7.67,7.571333333333334,,,,0
1751-06-01,1.801,15.628,12.026,6,1751,13.827,8.25475,,,,1
1751-08-01,2.296,16.701,12.109000000000002,8,1751,14.405,8.747666666666667,,,,1
1751-09-01,2.656,13.329,8.017000000000001,9,1751,10.673,8.672666666666666,,,,1
1752-01-01,3.7889999999999997,4.1370000000000005,-3.4409999999999994,1,1752,0.3480000000000003,7.623583333333333,,,,0
1752-03-01,3.1919999999999997,8.998,2.6140000000000003,3,1752,5.806,6.87825,,,,0
1752-04-01,2.398,10.662999999999998,5.866999999999999,4,1752,8.264999999999999,6.615916666666667,,,,0
1752-10-01,2.7539999999999996,10.592999999999998,5.084999999999999,10,1752,7.838999999999999,6.738583333333334,,,,0
1752-11-01,2.747,10.082,4.588,11,1752,7.335,7.118833333333332,,,,0
1752-12-01,2.9819999999999998,8.068,2.1040000000000005,12,1752,5.086,7.334749999999999,,,,0
1753-01-01,3.478,5.517,-1.439,1,1753,2.039,7.424416666666666,,,,0
1753-02-01,6.341,7.056,-5.626,2,1753,0.7149999999999999,7.000666666666667,,,,0
1753-03-01,2.929,8.353,2.495000000000001,3,1753,5.424,6.8135,,,,0
1753-04-01,3.177,11.449000000000002,5.0950000000000015,4,1753,8.272,6.350583333333334,,,,0
1753-05-01,3.111,15.297,9.075,5,1753,12.186,6.165666666666667,,,,1
1753-06-01,2.59,17.175,11.995,6,1753,14.585,6.491666666666667,,,,1
1753-07-01,1.929,17.021,13.163,7,1753,15.092,7.7203333333333335,,,,1
1753-08-01,2.4530000000000003,16.601,11.695,8,1753,14.148,8.4155,,,,1
1753-09-01,2.5380000000000003,15.86,10.784,9,1753,13.322,8.836916666666667,,,,1
1753-10-01,2.585,11.547,6.377000000000002,10,1753,8.962,8.9305,,,,1
1753-11-01,2.807,8.16,2.546,11,1753,5.353,8.765333333333334,,,,0
1753-12-01,4.1739999999999995,4.732999999999999,-3.615,12,1753,0.5589999999999997,8.388083333333334,,,,0
1754-01-01,5.02,6.593999999999999,-3.446,1,1754,1.574,8.349333333333334,,,,0
1754-03-01,3.3360000000000003,7.013,0.3409999999999997,3,1754,3.677,8.596166666666667,,,,0
1754-04-01,3.293,14.902999999999999,8.317,4,1754,11.61,9.111666666666666,,,,1
1754-05-01,3.937,15.873,7.999,5,1754,11.936,9.417,,,,1
1754-06-01,3.366,17.754,11.022,6,1754,14.388,9.600500000000002,,,,1
1754-07-01,2.401,17.082,12.28,7,1754,14.681,9.608500000000001,,,,1
1754-08-01,1.892,15.448,11.664,8,1754,13.556,9.480500000000003,,,,1
1754-09-01,2.318,13.447,8.811,9,1754,11.129,9.22891666666667,,,,1
1754-10-01,2.529,12.111,7.053000000000001,10,1754,9.582,8.917250000000003,,,,1
1754-11-01,3.048,9.209,3.1130000000000004,11,1754,6.1610000000000005,8.683833333333336,,,,0
1754-12-01,3.299,7.885999999999999,1.2879999999999998,12,1754,4.587,8.620000000000003,,,,0
1755-01-01,4.6930000000000005,5.7600000000000025,-3.6260000000000003,1,1755,1.067,8.662333333333336,,,,0
1755-02-01,5.857,5.7490000000000006,-5.965,2,1755,-0.1080000000000001,8.522166666666669,,,,0
