Datetime,LandAverageTemperatureUncertainty,UpperBounds,LowerBounds,month,year,Average_Temperature
1750-01-01,3.574,6.6080000000000005,-0.5399999999999996,1,1750,3.0340000000000003
1750-02-01,3.702,6.785,-0.6189999999999998,2,1750,3.083
1750-03-01,3.076,8.702,2.5500000000000003,3,1750,5.626
1750-04-01,2.451,10.940999999999999,6.039,4,1750,8.49
1750-05-01,2.072,13.645,9.501,5,1750,11.573
1750-06-01,1.724,14.661,11.213,6,1750,12.937000000000001
1750-08-01,2.231,16.980999999999998,12.519,8,1750,14.75
1750-09-01,2.637,14.05,8.775999999999998,9,1750,11.412999999999998
1750-10-01,2.668,9.035,3.698999999999999,10,1750,6.366999999999999
1750-12-01,2.97,5.742000000000001,-0.1980000000000004,12,1750,2.772
1751-01-01,3.469,5.9639999999999995,-0.9739999999999998,1,1751,2.495
1751-02-01,3.827,4.79,-2.864,2,1751,0.963
1751-03-01,3.051,8.850999999999997,2.749,3,1751,5.8
1751-04-01,2.3680000000000003,10.038,5.3020000000000005,4,1751,7.67
1751-06-01,1.801,15.628,12.026,6,1751,13.827
1751-08-01,2.296,16.701,12.109000000000002,8,1751,14.405
1751-09-01,2.656,13.329,8.017000000000001,9,1751,10.673
1752-01-01,3.789,4.1370000000000005,-3.4409999999999994,1,1752,0.3480000000000003
1752-03-01,3.192,8.998,2.6140000000000003,3,1752,5.806
1752-04-01,2.398,10.662999999999998,5.866999999999999,4,1752,8.264999999999999
1752-10-01,2.754,10.592999999999998,5.084999999999999,10,1752,7.838999999999999
1752-11-01,2.747,10.082,4.588,11,1752,7.335
1752-12-01,2.982,8.068,2.1040000000000005,12,1752,5.086
1753-01-01,3.478,5.517,-1.439,1,1753,2.039
1753-02-01,6.341,7.056,-5.626,2,1753,0.7149999999999999
1753-03-01,2.929,8.353,2.495000000000001,3,1753,5.4239999999999995
1753-04-01,3.177,11.449000000000002,5.0950000000000015,4,1753,8.272
1753-05-01,3.111,15.297,9.075,5,1753,12.186
1753-06-01,2.59,17.175,11.995,6,1753,14.585
1753-07-01,1.929,17.021,13.163,7,1753,15.092
1753-08-01,2.4530000000000003,16.601,11.695,8,1753,14.148
1753-09-01,2.5380000000000003,15.86,10.784,9,1753,13.322000000000001
1753-10-01,2.585,11.547,6.377000000000001,10,1753,8.962
1753-11-01,2.807,8.16,2.546,11,1753,5.353
1753-12-01,4.174,4.732999999999999,-3.615,12,1753,0.5589999999999997
