Datetime,month,Year,Decade_SMA,Global_Warming,Yearly_SMA_Solid_Fuel,Yearly_SMA_Gas_Fuel,Yearly_SMA_Cement,Yearly_SMA_Gas_Flaring,Yearly_SMA_Per_Capita,Yearly_SMA_Liquid_Fuel,Yearly_SMA_CarbonTotal,Average_Temps
1761-10-01,10,1761,8.05765,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,7.2269999999999985
1761-11-01,11,1761,8.074775,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0889999999999995
1762-01-01,1,1762,8.106300000000001,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.8660000000000005
1762-02-01,2,1762,8.099425000000002,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.801
1762-03-01,3,1762,8.058075,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5280000000000005
1762-04-01,4,1762,8.036791666666668,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,9.019
1762-05-01,5,1762,8.019658333333334,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,10.880999999999998
1762-06-01,6,1762,8.009233333333334,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,13.499
1762-07-01,7,1762,8.036791666666668,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,14.72
1762-08-01,8,1762,8.100333333333335,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,13.992
1762-09-01,9,1762,8.163283333333334,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,10.326
1762-10-01,10,1762,8.193791666666668,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.1560000000000015
1762-11-01,11,1762,8.238825,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.367000000000001
1762-12-01,12,1762,8.216516666666669,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.123
1763-01-01,1,1763,8.164008333333335,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3690000000000002
1763-02-01,2,1763,8.055208333333335,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7709999999999999
1763-03-01,3,1763,7.948300000000002,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5760000000000003
1763-04-01,4,1763,7.924950000000003,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,7.870999999999999
1763-05-01,5,1763,8.011225000000003,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,10.701
1763-06-01,6,1763,8.065100000000003,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,12.271
1763-08-01,8,1763,8.113941666666669,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,14.126
1763-09-01,9,1763,8.143433333333336,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,11.378
1763-10-01,10,1763,8.128433333333335,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.535
1763-11-01,11,1763,8.124283333333334,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,4.588
1763-12-01,12,1763,8.135491666666669,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.384
1764-01-01,1,1764,8.144041666666668,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.7409999999999999
1764-02-01,2,1764,8.150191666666668,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.162000000000001
1764-03-01,3,1764,8.127266666666667,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,5.521
1764-04-01,4,1764,8.091383333333333,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,7.879999999999999
1764-05-01,5,1764,8.062966666666666,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,11.175
1764-06-01,6,1764,8.034891666666665,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,11.723
1764-07-01,7,1764,8.021216666666666,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,12.507
