Datetime,month,Year,Decade_SMA,Global_Warming,Yearly_SMA_Solid_Fuel,Yearly_SMA_Gas_Fuel,Yearly_SMA_Cement,Yearly_SMA_Gas_Flaring,Yearly_SMA_Per_Capita,Yearly_SMA_Liquid_Fuel,Yearly_SMA_CarbonTotal
1761-10-01,10,1761,8.05765,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1761-11-01,11,1761,8.074775,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-01-01,1,1762,8.106300000000001,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-02-01,2,1762,8.099425000000002,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-03-01,3,1762,8.058075,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-04-01,4,1762,8.036791666666668,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-05-01,5,1762,8.019658333333334,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-06-01,6,1762,8.009233333333334,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-07-01,7,1762,8.036791666666668,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-08-01,8,1762,8.100333333333335,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-09-01,9,1762,8.163283333333334,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-10-01,10,1762,8.193791666666668,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-11-01,11,1762,8.238825,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1762-12-01,12,1762,8.216516666666669,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1763-01-01,1,1763,8.164008333333335,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1763-02-01,2,1763,8.055208333333335,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1763-03-01,3,1763,7.948300000000002,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1763-04-01,4,1763,7.924950000000003,0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1763-05-01,5,1763,8.011225000000003,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1763-06-01,6,1763,8.065100000000003,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1763-08-01,8,1763,8.113941666666669,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1763-09-01,9,1763,8.143433333333336,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1763-10-01,10,1763,8.128433333333335,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1763-11-01,11,1763,8.124283333333334,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1763-12-01,12,1763,8.135491666666669,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1764-01-01,1,1764,8.144041666666668,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1764-02-01,2,1764,8.150191666666668,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1764-03-01,3,1764,8.127266666666667,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1764-04-01,4,1764,8.091383333333333,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
1764-05-01,5,1764,8.062966666666666,1,3.0,0.0,0.0,0.0,0.0,0.0,3.0
